,lon,lat,value
229,120.677,27.9939,35.1578947368
230,120.76,27.9747,31.1578947368
231,120.671,28.0167,35.5175438596
232,120.598,30.0911,48.5
233,120.605,29.9919,44.5175438596
234,120.576,30.007,44.2368421053
235,120.07,30.8244,52.9035087719
236,120.744,30.7946,52.7807017544
237,120.726,30.7478,50.5789473684
238,121.273,28.6459,53.2894736842
239,121.419,28.6542,40.9649122807
240,121.377,28.5773,41.201754386
241,122.122,30.0203,29.1052631579
242,122.3094,29.9558,29.8771929825
243,122.19,29.9944,33.6403508772
244,119.649,29.1131,32.9649122807
245,119.647,29.077,28.2894736842
246,119.686,29.1029,31.298245614
247,118.871,28.9404,39.3947368421
248,118.871,28.9664,31.1842105263
249,118.855,28.9745,33.9912280702
250,119.914,28.4514,20.9561403509
251,119.93,28.4586,26.8214285714
252,119.879,28.4231,21.7280701754
253,117.196,31.7848,72.6403508772
254,117.307,31.8766,48.1666666667
255,117.259,31.8706,78.5263157895
256,117.16,31.9051,71.8245614035
257,117.25,31.8572,77.9649122807
258,117.266,31.9438,69.9473684211
259,117.336,31.8585,54.7105263158
260,117.302,31.7956,65.8947368421
261,117.278,31.7386,63.7368421053
262,117.124,31.8516,80.53125
263,119.389,26.0542,13.5614035088
264,119.414,26.0258,27.9649122807
265,119.303,26.0392,28.9649122807
266,119.299,26.1092,22.0465116279
267,119.268,26.0797,27.2456140351
268,119.315,26.0753,21.3628318584
269,118.15694444,24.818055556,37.1666666667
270,118.15138889,24.476666667,20.7719298246
271,118.06361111,24.445833333,23.2027027027
272,115.893,28.6844,35.4864864865
273,115.8886,28.6839,34.4385964912
274,115.813,28.7442,36.8303571429
275,115.973,28.6969,30.1061946903
276,115.852,28.6869,27.2612612613
277,115.892,28.6425,37.1052631579
278,115.742,28.7994,27.8705882353
279,115.912,28.6131,54.0175438596
280,115.931,28.6844,28.5087719298
281,116.988,36.6114,62.5526315789
282,116.93,36.67,75.5701754386
283,117.114,36.6739,60.972972973
284,116.989,36.6872,78.1578947368
285,117.0684,36.6868,69.4649122807
286,117.049,36.6622,86.9561403509
287,116.734,36.5336,80.592920354
288,120.6659,36.2403,41.835443038
289,120.3905,36.1851,52.2719298246
290,120.3471,36.0699,42.5087719298
291,120.4134,36.0654,36.3157894737
292,120.3664,36.1032,40.8245614035
293,120.2992,36.0543,43.9824561404
294,120.4587,36.0851,44.1929824561
295,120.1964,36.3083,47.5614035088
296,120.4001,36.2403,49.6754385965
297,113.681,34.7545,117.561403509
298,113.641,34.7745,124.324561404
299,113.675,34.8019,126.938596491
300,113.564,34.802,132.605263158
301,113.727,34.7187,126.342105263
302,113.734,34.719,124.622807018
303,113.5991,34.7496,124.236842105
304,113.6356,34.7538,129.929824561
305,113.6113,34.9162,112.128712871
306,114.3672,30.5719,90.0263157895
307,114.2511,30.5514,90.8245614035
308,114.2836,30.6197,97.7663551402
309,114.3006,30.5494,89.2631578947
310,114.4272,30.6103,96.8421052632
311,114.1525,30.4753,96.1929824561
312,114.3008,30.5947,80.3333333333
313,114.3894,30.4822,81.3947368421
314,114.2131,30.6414,101.0
315,113.8531,30.2997,81.9912280702
316,113.0833,28.2325,56.1052631579
317,112.8872,28.2189,60.5087719298
318,113.0792,28.2053,59.1578947368
319,112.9394,28.19,64.7894736842
320,112.9956,28.1442,62.5789473684
321,112.9792,28.2597,48.2456140351
322,113.0014,28.1944,67.7543859649
323,112.9844,28.1178,67.0789473684
324,112.8908,28.1308,69.045045045
325,112.9958,28.3586,59.8333333333
326,113.235,23.1422,27.0263157895
327,113.261,23.105,37.1228070175
328,113.348,23.0916,23.6315789474
329,113.433,23.105,25.6228070175
330,113.352,22.9477,29.6036036036
331,113.215,23.3917,32.4122807018
332,113.26,23.1331,25.1666666667
333,113.568,23.2783,29.7247706422
334,113.281,23.1569,23.0438596491
335,113.589,23.5538,28.8039215686
336,114.096,22.55,26.4210526316
337,114.117,22.5625,27.701754386
338,113.987,22.5417,26.0789473684
339,113.923,22.5167,26.8245614035
340,114.263,22.5908,24.8421052632
341,114.24,22.7267,24.5175438596
342,113.891,22.5794,27.9649122807
343,114.494,22.5422,30.3245614035
344,114.41,22.6342,27.2368421053
345,114.297,22.5978,28.2192982456
346,114.085,22.75,27.8771929825
347,113.574,22.2611,30.0087719298
348,113.495,22.2294,30.9122807018
349,113.628,22.4251,32.0701754386
350,113.299,22.2281,25.3245614035
351,113.134,23.0048,24.0614035088
352,113.105,23.0395,32.1
353,113.144,23.0467,26.7543859649
354,113.292,22.8054,24.6403508772
355,113.257,22.7629,26.9035087719
356,112.844,22.8693,23.850877193
357,112.885,23.1572,23.7105263158
358,112.863,23.1886,24.5614035088
359,113.3769,22.5211,22.5701754386
360,113.3881,22.5497,25.6578947368
361,113.4075,22.5111,23.701754386
362,113.4411,22.4853,22.9298245614
363,113.104,22.6069,32.3070175439
364,113.074,22.5811,26.1140350877
365,113.024,22.5328,29.7192982456
366,113.0819,22.5931,33.2192982456
367,113.7819444,23.05361111,23.0701754386
368,113.7461111,23.02777778,26.7456140351
369,113.7480556,23.06,23.6929824561
370,113.7944444,23.01277778,23.5263157895
371,113.7383333,22.96583333,24.2631578947
372,114.4183,23.0528,20.5789473684
373,114.4053,23.08,16.4912280702
374,114.4103,23.1142,20.4473684211
375,114.3244,22.8172,22.4649122807
376,114.5317,22.7422,20.6052631579
377,112.427,23.0706,34.6052631579
378,112.471,23.0528,34.6315789474
379,112.565,23.1617,36.3431372549
380,108.301,22.7875,32.7346938776
381,108.316,22.8561,35.4122807018
382,108.321,22.8225,30.4649122807
383,108.383,22.805,31.5614035088
384,108.439,22.7906,32.4299065421
385,108.239,22.8464,36.4821428571
386,108.328,22.735,33.701754386
387,108.244,22.7833,30.5526315789
388,110.576,19.9507,15.0789473684
389,110.3232,20.0574,19.7280701754
390,110.283,20.0053,18.201754386
391,110.338,19.9969,22.5087719298
392,110.33,20.0356,20.5789473684
393,106.379,29.8272,15.1842105263
